act_role,eng_title,evaluation_num,movie_link,quote,ranking,rating_num,title
,,,,,,,
"
                            导演: 弗兰克·德拉邦特 Frank Darabont???主演: 蒂姆·罗宾斯 Tim Robbins /...",?/?The Shawshank Redemption,1110608人评价,https://movie.douban.com/subject/1292052/,希望让人自由。,1,9.6,肖申克的救赎
,,,,,,,
"
                            导演: 陈凯歌 Kaige Chen???主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...",?/?再见，我的妾  /  Farewell My Concubine,810517人评价,https://movie.douban.com/subject/1291546/,风华绝代。,2,9.5,霸王别姬
,,,,,,,
"
                            导演: 吕克·贝松 Luc Besson???主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...",?/?Léon,1029464人评价,https://movie.douban.com/subject/1295644/,怪蜀黍和小萝莉不得不说的故事。,3,9.4,这个杀手不太冷
,,,,,,,
"
                            导演: Robert Zemeckis???主演: Tom Hanks / Robin Wright Penn / Gary Sinise",?/?Forrest Gump,878046人评价,https://movie.douban.com/subject/1292720/,一部美国近现代史。,4,9.4,阿甘正传
,,,,,,,
"
                            导演: 罗伯托·贝尼尼 Roberto Benigni???主演: 罗伯托·贝尼尼 Roberto Beni...",?/?La vita è bella,512557人评价,https://movie.douban.com/subject/1292063/,最美的谎言。,5,9.5,美丽人生
,,,,,,,
"
                            导演: 詹姆斯·卡梅隆 James Cameron???主演: 莱昂纳多·迪卡普里奥 Leonardo...",?/?Titanic,816707人评价,https://movie.douban.com/subject/1292722/,失去的才是永恒的。 ,6,9.3,泰坦尼克号
,,,,,,,
"
                            导演: 宫崎骏 Hayao Miyazaki???主演: 柊瑠美 Rumi H?ragi / 入野自由 Miy...",?/?千と千尋の神隠し,817443人评价,https://movie.douban.com/subject/1291561/,最好的宫崎骏，最好的久石让。 ,7,9.3,千与千寻
,,,,,,,
"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg???主演: 连姆·尼森 Liam Neeson...",?/?Schindler's List,463963人评价,https://movie.douban.com/subject/1295124/,拯救一个人，就是拯救整个世界。,8,9.4,辛德勒的名单
,,,,,,,
"
                            导演: 克里斯托弗·诺兰 Christopher Nolan???主演: 莱昂纳多·迪卡普里奥 Le...",?/?Inception,905762人评价,https://movie.douban.com/subject/3541415/,诺兰给了我们一场无法盗取的梦。,9,9.3,盗梦空间
,,,,,,,
"
                            导演: 安德鲁·斯坦顿 Andrew Stanton???主演: 本·贝尔特 Ben Burtt / 艾丽...",?/?WALL·E,596973人评价,https://movie.douban.com/subject/2131459/,小瓦力，大人生。,10,9.3,机器人总动员
,,,,,,,
"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallstr?m???主演: 理查·基尔 Richard Ger...",?/?Hachi: A Dog's Tale,574272人评价,https://movie.douban.com/subject/3011091/,永远都不能忘记你所爱的人。,11,9.3,忠犬八公的故事
,,,,,,,
"
                            导演: 拉库马·希拉尼 Rajkumar Hirani???主演: 阿米尔·汗 Aamir Khan / 卡...",?/?3 Idiots,814315人评价,https://movie.douban.com/subject/3793023/,英俊版憨豆，高情商版谢耳朵。,12,9.2,三傻大闹宝莱坞
,,,,,,,
"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore???主演: 蒂姆·罗斯 Tim Roth / ...",?/?La leggenda del pianista sull'oceano,688271人评价,https://movie.douban.com/subject/1292001/,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,13,9.2,海上钢琴师
,,,,,,,
"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier???主演: 杰拉尔·朱诺 Géra...",?/?Les choristes,551563人评价,https://movie.douban.com/subject/1291549/,天籁一般的童声，是最接近上帝的存在。 ,14,9.2,放牛班的春天
,,,,,,,
"
                            导演: 刘镇伟 Jeffrey Lau???主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...",?/?西遊記大結局之仙履奇緣,605805人评价,https://movie.douban.com/subject/1292213/,一生所爱。,15,9.2,大话西游之大圣娶亲
,,,,,,,
"
                            导演: 彼得·威尔 Peter Weir???主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...",?/?The Truman Show,580886人评价,https://movie.douban.com/subject/1292064/,如果再也不能见到你，祝你早安，午安，晚安。,16,9.1,楚门的世界
,,,,,,,
"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola???主演: 马龙·白兰度 M...",?/?The Godfather,410171人评价,https://movie.douban.com/subject/1291841/,千万不要记恨你的对手，这样会让你失去理智。,17,9.2,教父
,,,,,,,
